Precision,Recall
0.2389937106918239,0.95
0.24050632911392406,0.95
0.24203821656050956,0.95
0.24358974358974358,0.95
0.24516129032258063,0.95
0.24675324675324675,0.95
0.24836601307189543,0.95
0.25,0.95
0.25165562913907286,0.95
0.25333333333333335,0.95
0.2550335570469799,0.95
0.25675675675675674,0.95
0.2585034013605442,0.95
0.2602739726027397,0.95
0.2620689655172414,0.95
0.2638888888888889,0.95
0.26573426573426573,0.95
0.2676056338028169,0.95
0.2695035460992908,0.95
0.2714285714285714,0.95
0.2733812949640288,0.95
0.2753623188405797,0.95
0.2773722627737226,0.95
0.27941176470588236,0.95
0.2814814814814815,0.95
0.2835820895522388,0.95
0.2857142857142857,0.95
0.2878787878787879,0.95
0.2900763358778626,0.95
0.2923076923076923,0.95
0.29457364341085274,0.95
0.296875,0.95
0.2992125984251969,0.95
0.30158730158730157,0.95
0.304,0.95
0.3064516129032258,0.95
0.3089430894308943,0.95
0.3114754098360656,0.95
0.3140495867768595,0.95
0.31666666666666665,0.95
0.31932773109243695,0.95
0.3220338983050847,0.95
0.3247863247863248,0.95
0.3275862068965517,0.95
0.33043478260869563,0.95
0.3333333333333333,0.95
0.336283185840708,0.95
0.3392857142857143,0.95
0.34234234234234234,0.95
0.34545454545454546,0.95
0.3486238532110092,0.95
0.35185185185185186,0.95
0.35514018691588783,0.95
0.3584905660377358,0.95
0.3619047619047619,0.95
0.36538461538461536,0.95
0.36893203883495146,0.95
0.37254901960784315,0.95
0.37623762376237624,0.95
0.38,0.95
0.3838383838383838,0.95
0.3877551020408163,0.95
0.3917525773195876,0.95
0.3958333333333333,0.95
0.4,0.95
0.40425531914893614,0.95
0.40860215053763443,0.95
0.41304347826086957,0.95
0.4175824175824176,0.95
0.4222222222222222,0.95
0.42696629213483145,0.95
0.4318181818181818,0.95
0.4367816091954023,0.95
0.4418604651162791,0.95
0.4470588235294118,0.95
0.4523809523809524,0.95
0.4578313253012048,0.95
0.4634146341463415,0.95
0.4691358024691358,0.95
0.475,0.95
0.4810126582278481,0.95
0.48717948717948717,0.95
0.4935064935064935,0.95
0.5,0.95
0.5066666666666667,0.95
0.5135135135135135,0.95
0.5205479452054794,0.95
0.5277777777777778,0.95
0.5352112676056338,0.95
0.5428571428571428,0.95
0.5507246376811594,0.95
0.5588235294117647,0.95
0.5671641791044776,0.95
0.5757575757575758,0.95
0.5846153846153846,0.95
0.59375,0.95
0.6031746031746031,0.95
0.6129032258064516,0.95
0.6229508196721312,0.95
0.6333333333333333,0.95
0.6440677966101694,0.95
0.6551724137931034,0.95
0.6666666666666666,0.95
0.6785714285714286,0.95
0.6909090909090909,0.95
0.6851851851851852,0.925
0.6981132075471698,0.925
0.7115384615384616,0.925
0.7254901960784313,0.925
0.74,0.925
0.7551020408163265,0.925
0.7708333333333334,0.925
0.7872340425531915,0.925
0.8043478260869565,0.925
0.8222222222222222,0.925
0.8409090909090909,0.925
0.8604651162790697,0.925
0.8809523809523809,0.925
0.9024390243902439,0.925
0.925,0.925
0.9230769230769231,0.9
0.9210526315789473,0.875
0.9459459459459459,0.875
0.9722222222222222,0.875
1.0,0.875
1.0,0.85
1.0,0.825
1.0,0.8
1.0,0.775
1.0,0.75
1.0,0.725
1.0,0.7
1.0,0.675
1.0,0.65
1.0,0.625
1.0,0.6
1.0,0.575
1.0,0.55
1.0,0.525
1.0,0.5
1.0,0.475
1.0,0.45
1.0,0.425
1.0,0.4
1.0,0.375
1.0,0.35
1.0,0.325
1.0,0.3
1.0,0.275
1.0,0.25
1.0,0.225
1.0,0.2
1.0,0.175
1.0,0.15
1.0,0.125
1.0,0.1
1.0,0.075
1.0,0.05
1.0,0.025
1.0,0.0
